index,Page,title,category,link,phone,coordinates,latitude,longtitude,timezone,owner,website,image,sponsored,address,emails,reviews_count,plus_code,review_rating,price_range,menu
1,,"Yanis prestige - Spa, Hammam, Bien être casablanca",Spa,"https://www.google.com/maps/place/Yanis+prestige+-+Spa,+Hammam,+Bien+%C3%AAtre+casablanca/data=!4m7!3m6!1s0xda7d39ad9c3a739:0xcffb34f409ceb175!8m2!3d33.5858441!4d-7.619264!16s%2Fg%2F11j0ykwt1p!19sChIJOafD2ZrTpw0RdbHOCfQ0-88?authuser=0&hl=en&rclk=1",05222-93925,"@33.5858441,-7.619264",33.5858441,-7.619264,Africa/Casablanca,true,https://yanis-prestige.business.site/?utm_source=gmb&utm_medium=referral,https://lh5.googleusercontent.com/p/AF1QipPoEe60D1UNjVXnC-C10lEW00TqvEIVC_5sdS5u=w426-h240-k-no,false,"N° 23، Rue El Yassamine, Casablanca 20250",,0,H9PJ+87 Casablanca,0,,
2,,Hamam Moulay Yaacoub,Spa,https://www.google.com/maps/place/Hamam+Moulay+Yaacoub/data=!4m7!3m6!1s0xda712809c5f48d1:0x567c72dced20e71f!8m2!3d33.9148515!4d-6.9173679!16s%2Fg%2F1260w67c4!19sChIJ0UhfnIASpw0RH-cg7dxyfFY?authuser=0&hl=en&rclk=1,,"@33.9148515,-6.9173679",33.9148515,-6.9173679,Africa/Casablanca,false,,//maps.gstatic.com/tactile/pane/default_geocode-1x.png,false,"W37M+W3R, Temara",,32,,3.9,,
3,,Hamam DIOUR JAMAA,Spa,https://www.google.com/maps/place/Hamam+DIOUR+JAMAA/data=!4m7!3m6!1s0xda76da7800bc07b:0xd190dba74759d2f9!8m2!3d34.0133122!4d-6.8472116!16s%2Fg%2F11t7tr02lz!19sChIJe8ALgKdtpw0R-dJZR6fbkNE?authuser=0&hl=en&rclk=1,,"@34.0133122,-6.8472116",34.0133122,-6.8472116,Africa/Casablanca,false,,//maps.gstatic.com/tactile/pane/default_geocode-1x.png,false,"52, cité des Habous, Av. Hassan II, Rabat",,0,2573+84 Rabat,0,,
4,,Hammam Marassa,Hammam,https://www.google.com/maps/place/Hammam+Marassa/data=!4m7!3m6!1s0xda76c73c4b9cb6f:0x673850dfc05d4452!8m2!3d34.0250198!4d-6.8422058!16s%2Fg%2F1hc3dw4h8!19sChIJb8u5xHNspw0RUkRdwN9QOGc?authuser=0&hl=en&rclk=1,05377-21461,"@34.0250198,-6.8422058",34.0250198,-6.8422058,Africa/Casablanca,true,,https://lh5.googleusercontent.com/p/AF1QipMWw1Z6HL4wTWK1oAUuXodA467cVtkao0rDnSBz=w426-h240-k-no,false,"Rue QOBROS, Rabat",,352,25G5+24 Rabat,4.4,,
5,,ALfatch Spa Hammam bath,Hammam,https://www.google.com/maps/place/ALfatch+Spa+Hammam+bath/data=!4m7!3m6!1s0xda76c9420f1bab1:0x9fc6a9af9c4146b8!8m2!3d33.9891716!4d-6.8511162!16s%2Fg%2F1v29dcpz!19sChIJsbrxIJRspw0RuEZBnK-pxp8?authuser=0&hl=en&rclk=1,0661-445818,"@33.9891716,-6.8511162",33.9891716,-6.8511162,Africa/Casablanca,true,,//maps.gstatic.com/tactile/pane/default_geocode-1x.png,false,"40 Av. 16 Novembre, Rabat",,80,X4QX+MH Rabat,3.5,,
6,,Spa Rabat Hammam & Massage,Spa,https://www.google.com/maps/place/Spa+Rabat+Hammam+%26+Massage/data=!4m7!3m6!1s0xda70d7be61eb415:0x48b5bfc49834f381!8m2!3d33.9941237!4d-6.8474002!16s%2Fg%2F11f29zz1l_!19sChIJFbQe5nsNpw0RgfM0mMS_tUg?authuser=0&hl=en&rclk=1,05376-74546,"@33.9941237,-6.8474002",33.9941237,-6.8474002,Africa/Casablanca,true,,//www.gstatic.com/images/icons/material/system_gm/1x/photo_library_white_18dp.png,false,"Agdal Rue Jbel Moussa, Rabat 10090",,57,X5V3+J2 Rabat,3.3,,
7,,hamam public bathroom,Hammam,https://www.google.com/maps/place/hamam+public+bathroom/data=!4m7!3m6!1s0xda70d4a5fb4383d:0x5477fa7f3153336d!8m2!3d33.9064836!4d-6.9288639!16s%2Fg%2F11s9kfph62!19sChIJPTi0X0oNpw0RbTNTMX_6d1Q?authuser=0&hl=en&rclk=1,,"@33.9064836,-6.9288639",33.9064836,-6.9288639,Africa/Casablanca,false,,//maps.gstatic.com/tactile/pane/default_geocode-1x.png,false,"W34C+HFR, Temara",,0,,0,,
8,,Hamam Buiba,Hammam,https://www.google.com/maps/place/Hamam+Buiba/data=!4m7!3m6!1s0xda76c7642e2967b:0xc5c555c7e0fe3b2d!8m2!3d34.0229544!4d-6.8370048!16s%2Fg%2F11dxs9n12w!19sChIJe5biQnZspw0RLTv-4MdVxcU?authuser=0&hl=en&rclk=1,,"@34.0229544,-6.8370048",34.0229544,-6.8370048,Africa/Casablanca,false,,//maps.gstatic.com/tactile/pane/default_geocode-1x.png,false,"25F7+55Q, Rue Lalla Oum Kenabech, Rabat",,3,,3.7,,
9,,Hammam L'Océan,Spa,https://www.google.com/maps/place/Hammam+L%27Oc%C3%A9an/data=!4m7!3m6!1s0xda76c6f21336f95:0x496e4813fa06a195!8m2!3d34.0206666!4d-6.8499701!16s%2Fg%2F119tqrbq8!19sChIJlW8zIW9spw0RlaEG-hNIbkk?authuser=0&hl=en&rclk=1,0622-279129,"@34.0206666,-6.8499701",34.0206666,-6.8499701,Africa/Casablanca,true,,https://lh5.googleusercontent.com/p/AF1QipOEDJLPiidaKpxLdKJlWzjLhLTxW5NA-jTGOocs=w408-h256-k-no,false,"18 Rue Bandoeng, Rabat",,36,25C2+72 Rabat,4.1,,
10,,Hammam Nefertiti,Spa,https://www.google.com/maps/place/Hammam+Nefertiti/data=!4m7!3m6!1s0xda713f3d99ecdfb:0xe17ce9fe3db768f8!8m2!3d33.9160236!4d-6.9135057!16s%2Fg%2F11q8s1_z6g!19sChIJ-82e2fMTpw0R-Gi3Pf7pfOE?authuser=0&hl=en&rclk=1,,"@33.9160236,-6.9135057",33.9160236,-6.9135057,Africa/Casablanca,false,,//maps.gstatic.com/tactile/pane/default_geocode-1x.png,false,"W38P+CH5, Temara",,9,,3.9,,
